Korean,Pronunciation,English
대단해요,daedanhaeyo,That's amazing
멋져요,meotjyeoyo,Awesome
최고예요,choegoyeyo,It's the best
완벽해요,wanbyeokhaeyo,It's perfect
정말 예뻐요,jeongmal yeppeoyo,It's really pretty
정말 멋있어요,jeongmal meosisseoyo,It's really cool
정말 귀여워요,jeongmal gwiyeowoyo,It's really cute
정말 맛있어요,jeongmal masisseoyo,It's really delicious
맛이 어때요,masi eottaeyo,How does it taste
냄새가 좋아요,naemsaega joayo,It smells good
배가 불러요,baega bulleoyo,I'm full
더 주세요,deo juseyo,Please give me more
이거 하나 주세요,igeo hana juseyo,One of this please
포장해 주세요,pojanghae juseyo,Please pack it
여기서 먹을게요,yeogiseo meogeulgeyo,I'll eat here
가지고 갈게요,gajigo galgeyo,I'll take it to go
물 좀 주세요,mul jom juseyo,Some water please
매워요,maewoyo,It's spicy
안 매워요,an maewoyo,It's not spicy
달아요,darayo,It's sweet
짜요,jjayo,It's salty
싱거워요,singgeowoyo,It's bland
뜨거워요,tteugeowoyo,It's hot
차가워요,chagawoyo,It's cold
더운 것 같아요,deoun geot gatayo,It seems hot
추운 것 같아요,chuun geot gatayo,It seems cold
비가 와요,biga wayo,It's raining
눈이 와요,nuni wayo,It's snowing
날씨가 좋아요,nalssiga joayo,The weather is nice
날씨가 흐려요,nalssiga heuryeoyo,It's cloudy
바람이 많이 불어요,barami mani bureoyo,It's very windy
우산이 필요해요,usani piryohaeyo,I need an umbrella
길을 잃었어요,gireul ireosseoyo,I'm lost
이 길이 맞아요,i giri majayo,Is this the right way
역이 어디예요,yeogi eodiyeyo,Where is the station
버스 정류장이 어디예요,beoseu jeongnyujangi eodiyeyo,Where is the bus stop
지하철역이 어디예요,jihacheolyeogi eodiyeyo,Where is the subway station
택시를 불러 주세요,taeksireul bulleo juseyo,Please call a taxi
여기로 가 주세요,yeogiro ga juseyo,Please go here
얼마나 걸려요,eolmana geollyeoyo,How long does it take
가까워요,gakkawoyo,It's close
멀어요,meoreoyo,It's far
왼쪽으로 가세요,oenjjogeuro gaseyo,Go left
오른쪽으로 가세요,oreunjjogeuro gaseyo,Go right
곧바로 가세요,gotbaro gaseyo,Go straight
여기에서 세워 주세요,yeogieseo sewo juseyo,Please stop here
천천히 가 주세요,cheoncheonhi ga juseyo,Please drive slowly
영수증 필요 없어요,yeongsujeung piryo eopseoyo,I don't need a receipt
잔돈 있어요,jandon isseoyo,I have change
거스름돈 주세요,geoseureumdon juseyo,Change please
조금 비싸요,jogeum bissayo,It's a bit expensive
조금 싸요,jogeum ssayo,It's a bit cheap
할인돼요,harindoeyo,Is it discounted
입어 봐도 돼요,ibeo bwado dwaeyo,May I try it on
다른 색 있어요,dareun saek isseoyo,Do you have another color
큰 사이즈 있어요,keun saijeu isseoyo,Do you have a larger size
작은 사이즈 있어요,jageun saijeu isseoyo,Do you have a smaller size
이게 마음에 들어요,ige maeume deureoyo,I like this
생각해 볼게요,saenggakhae bolgeyo,I'll think about it
괜찮은 것 같아요,gwaenchanheun geot gatayo,It seems good
다음에 살게요,daeume salgeyo,I'll buy it next time
사진 보내 주세요,sajin bonae juseyo,Please send the photo
메시지 보내 주세요,mesiji bonae juseyo,Please send a message
답장해 주세요,dapjanghae juseyo,Please reply
전화해 주세요,jeonhwahae juseyo,Please call me
나중에 전화할게요,najunge jeonhwahalgeyo,I'll call later
배터리가 없어요,baeteoriga eopseoyo,My battery is dead
충전해야 해요,chungjeonhaeya haeyo,I need to charge it
인터넷이 안 돼요,inteoneti an dwaeyo,The internet isn't working
비밀번호가 뭐예요,bimilbeonhoga mwoyeyo,What's the password
와이파이 비밀번호가 뭐예요,waipai bimilbeonhoga mwoyeyo,What's the Wi-Fi password
사진 찍는 걸 좋아해요,sajin jjinneun geol joahaeyo,I like taking photos
음악 듣는 걸 좋아해요,eumak deutneun geol joahaeyo,I like listening to music
영화를 자주 봐요,yeonghwareul jaju bwayo,I watch movies often
운동을 자주 해요,undongeul jaju haeyo,I exercise often
한국 음식을 좋아해요,hanguk eumsigeul joahaeyo,I like Korean food
한국 드라마를 좋아해요,hanguk deuramareul joahaeyo,I like Korean dramas
한국 노래를 좋아해요,hanguk noraereul joahaeyo,I like Korean songs
오늘 정말 즐거웠어요,oneul jeongmal jeulgeowosseoyo,I had a great time today
다음에 또 만나요,daeume tto mannayo,Let's meet again next time
안전하게 돌아가세요,anjeonhage doragaseyo,Get home safely
왜요,waeyo,Why
왜,e wae,Why
뭐,mwo,What
뭐예요,mwoyeyo,What is it
누구,nugu,Who
언제,eonje,When
어디,eodi,Where
어떻게,eotteoke,How
얼마,eolma,How much
얼마나,eolmana,How many
어느,eoneu,Which
무슨,museun,What kind
몇,myeot,How many
이것,igeot,This
그것,geugeot,That
저것,jeogeot,That over there
여기,yeogi,Here
거기,geogi,There
저기,jeogi,Over there
이리,iri,This way
저리,jeori,That way
나,na,I
저,jeo,I polite
너,neo,You
당신,dangsin,You
우리,uri,We
저희,jeohui,We polite
그,geu,He
그녀,geunyeo,She
사람,saram,Person
친구,chingu,Friend
남자,namja,Man
여자,yeoja,Woman
아이,ai,Child
아기,agi,Baby
가족,gajok,Family
아버지,abeoji,Father
어머니,eomeoni,Mother
엄마,eomma,Mom
아빠,appa,Dad
형,hyeong,Older brother
오빠,oppa,Older brother
누나,nuna,Older sister
언니,eonni,Older sister
동생,dongsaeng,Younger sibling
할아버지,harabeoji,Grandfather
할머니,halmeoni,Grandmother
아들,adeul,Son
딸,ttal,Daughter
남편,nampyeon,Husband
아내,anae,Wife
결혼,gyeolhon,Marriage
집,jip,House
방,bang,Room
문,mun,Door
창문,changmun,Window
의자,uija,Chair
책상,chaeksang,Desk
침대,chimdae,Bed
소파,sopa,Sofa
부엌,bueok,Kitchen
화장실,hwajangsil,Bathroom
거실,geosil,Living room
냉장고,naengjanggo,Refrigerator
텔레비전,tellebijeon,Television
컴퓨터,keompyuteo,Computer
휴대폰,hyudaepon,Mobile phone
전화,jeonhwa,Phone
인터넷,inteonet,Internet
와이파이,waipai,Wi-Fi
책,chaek,Book
공책,gongchaek,Notebook
펜,pen,Pen
연필,yeonpil,Pencil
지우개,jiugae,Eraser
가방,gabang,Bag
학교,hakgyo,School
학생,haksaeng,Student
선생님,seonsaengnim,Teacher
교실,gyosil,Classroom
시험,siheom,Exam
숙제,sukje,Homework
공부,gongbu,Study
회사,hoesa,Company
직장,jikjang,Workplace
직원,jigwon,Employee
사장님,sajangnim,Boss
회의,hoeui,Meeting
일,il,Work
돈,don,Money
카드,kadeu,Card
현금,hyeongeum,Cash
은행,eunhaeng,Bank
시장,sijang,Market
가게,gage,Shop
마트,mateu,Supermarket
편의점,pyeonuijeom,Convenience store
식당,sikdang,Restaurant
카페,kape,Cafe
메뉴,menyu,Menu
주문,jumun,Order
물,mul,Water
커피,keopi,Coffee
차,cha,Tea
우유,uyu,Milk
주스,juseu,Juice
맥주,maekju,Beer
밥,bap,Rice
김치,gimchi,Kimchi
국,guk,Soup
라면,ramyeon,Ramen
빵,ppang,Bread
계란,gyeran,Egg
고기,gogi,Meat
생선,saengseon,Fish
닭,dak,Chicken
소고기,sogogi,Beef
돼지고기,dwaejigogi,Pork
과일,gwail,Fruit
사과,sagwa,Apple
바나나,banana,Banana
오렌지,orenji,Orange
포도,podo,Grapes
딸기,ttalgi,Strawberry
채소,chaeso,Vegetables
감자,gamja,Potato
양파,yangpa,Onion
토마토,tomato,Tomato
오이,oi,Cucumber
물고기,mulgogi,Fish
고양이,goyangi,Cat
강아지,gangaji,Puppy
개,gae,Dog
새,sae,Bird
말,mal,Horse
소,so,Cow
돼지,dwaeji,Pig
토끼,tokki,Rabbit
곰,gom,Bear
호랑이,horangi,Tiger
사자,saja,Lion
하늘,haneul,Sky
바다,bada,Sea
산,san,Mountain
강,gang,River
나무,namu,Tree
꽃,kkot,Flower
비,bi,Rain
눈,nun,Snow
바람,baram,Wind
날씨,nalssi,Weather
봄,bom,Spring
여름,yeoreum,Summer
가을,gaeul,Autumn
겨울,gyeoul,Winter
오늘,oneul,Today
내일,naeil,Tomorrow
어제,eoje,Yesterday
지금,jigeum,Now
나중에,najunge,Later
아침,achim,Morning
점심,jeomsim,Lunch
저녁,jeonyeok,Evening
밤,bam,Night
시간,sigan,Time
분,bun,Minute
초,cho,Second
월요일,woryoil,Monday
화요일,hwayoil,Tuesday
수요일,suyoil,Wednesday
목요일,mogyoil,Thursday
금요일,geumyoil,Friday
토요일,toyoil,Saturday
일요일,iryoil,Sunday
일,il,One
이,i,Two
삼,sam,Three
사,sa,Four
오,o,Five
육,yuk,Six
칠,chil,Seven
팔,pal,Eight
구,gu,Nine
십,sip,Ten
